"Function","File"
"Initialize-ScapeBitwise","Bitwise.psm1"
"Invoke-ScapeBulkBitwise","Bitwise.psm1"
"Initialize-ScapeBridge","Bridge.psm1"
"Open-ScapeRawHandle","Bridge.psm1"
"Close-ScapeRawHandle","Bridge.psm1"
"Initialize-ScapeReader","Reader.psm1"
"Read-ScapeDiskStream","Reader.psm1"
"Initialize-ScapeResilience","Resilience.psm1"
"Invoke-ScapeResilientRead","Resilience.psm1"
"Get-ScapePhysicalTarget","Selection.psm1"
"Start-ScapeAnalysisStream","Analyzer.psm1"
"Invoke-ScapeBatchAnalysis","Analyzer.psm1"
"Invoke-ScapeRawCarving","Carver.psm1"
"_FlushCarvedBatch","Carver.psm1"
"Get-ScapeCarverStat","Carver.psm1"
"Reset-ScapeCarverStat","Carver.psm1"
"Repair-ScapeCarvedHeader","Healer.psm1"
"Repair-ScapeTruncatedFooter","Healer.psm1"
"Repair-ScapeFragmentedRecord","Healer.psm1"
"Test-ScapeCarvedIntegrity","Healer.psm1"
"Invoke-ScapeHealingPipeline","Healer.psm1"
"Get-ScapeHealerStat","Healer.psm1"
"Reset-ScapeHealerStat","Healer.psm1"
"Find-ScapeSignatureAtOffset","Signature.psm1"
"Get-ScapeAbstractionConfig","Abstraction.psm1"
"_ReadBytes","Abstraction.psm1"
"_BytesMatch","Abstraction.psm1"
"_ReadUInt16LE","Abstraction.psm1"
"_ReadUInt32LE","Abstraction.psm1"
"_ReadUInt64LE","Abstraction.psm1"
"_ReadInt64LE","Abstraction.psm1"
"_ReadUInt32BE","Abstraction.psm1"
"_ReadUInt64BE","Abstraction.psm1"
"Resolve-ScapeFSType","Abstraction.psm1"
"_LoadParserModule","Abstraction.psm1"
"Invoke-ScapeFSParser","Abstraction.psm1"
"Invoke-ScapeBatchFSAnalysis","Abstraction.psm1"
"Invoke-ScapeContainerParser","Abstraction.psm1"
"Initialize-ScapeAPFSParser","APFS.psm1"
"Get-ScapeAPFSMeta","APFS.psm1"
"Initialize-ScapeBTRFSParser","BTRFS.psm1"
"Get-ScapeBTRFSMeta","BTRFS.psm1"
"Initialize-ScapeDiskImageParser","DiskImage.psm1"
"Get-ScapeVMDKMeta","DiskImage.psm1"
"Get-ScapeVHDMeta","DiskImage.psm1"
"Get-ScapeVHDXMeta","DiskImage.psm1"
"Get-ScapeQCOW2Meta","DiskImage.psm1"
"Get-ScapeDMGMeta","DiskImage.psm1"
"Initialize-ScapeEXTParser","EXT.psm1"
"Get-ScapeEXTInode","EXT.psm1"
"Resolve-ScapeEXTIndirectBlock","EXT.psm1"
"Restore-ScapeEXTDeletedInode","EXT.psm1"
"Get-ScapeEXTJournal","EXT.psm1"
"Get-ScapeEXTMeta","EXT.psm1"
"Initialize-ScapeF2FSParser","F2FS.psm1"
"Get-ScapeF2FSMeta","F2FS.psm1"
"Initialize-ScapeFATParser","FAT.psm1"
"Get-ScapeFATDirectoryEntry","FAT.psm1"
"Trace-ScapeFATChain","FAT.psm1"
"Restore-ScapeDeletedFATEntry","FAT.psm1"
"Get-ScapeExFATStreamExtension","FAT.psm1"
"Get-ScapeFATMeta","FAT.psm1"
"Initialize-ScapeHFSParser","HFS.psm1"
"Get-ScapeHFSMeta","HFS.psm1"
"Initialize-ScapeISO9660Parser","ISO9660.psm1"
"Get-ScapeISO9660Meta","ISO9660.psm1"
"Initialize-ScapeJFSParser","JFS.psm1"
"Get-ScapeJFSMeta","JFS.psm1"
"Read-ScapeUInt16LE","Metadata.psm1"
"Read-ScapeUInt32LE","Metadata.psm1"
"Read-ScapeUInt64LE","Metadata.psm1"
"Read-ScapeInt64LE","Metadata.psm1"
"Read-ScapeAsciiString","Metadata.psm1"
"Read-ScapeUTF16LEString","Metadata.psm1"
"Convert-ScapeNTFSTime","Metadata.psm1"
"Convert-ScapeFATTime","Metadata.psm1"
"Convert-ScapeUnixTime","Metadata.psm1"
"Get-ScapeNTFSMFT","Metadata.psm1"
"Get-ScapeFATEntry","Metadata.psm1"
"Get-ScapeEXTInode","Metadata.psm1"
"Get-ScapeFSMeta","Metadata.psm1"
"Convert-ScapeMetadataToDBRecord","Metadata.psm1"
"Test-ScapeMetadataIntegrity","Metadata.psm1"
"Initialize-ScapeNTFSParser","NTFS.psm1"
"Get-ScapeNTFSAttributeList","NTFS.psm1"
"Get-ScapeNTFSDataRun","NTFS.psm1"
"Resolve-ScapeNTFSHardLink","NTFS.psm1"
"Unprotect-ScapeNTFSEFS","NTFS.psm1"
"Get-ScapeNTFSMeta","NTFS.psm1"
