"Line","Column","Message","Extent","RuleName","Severity","ScriptName","ScriptPath","RuleSuppressionID","SuggestedCorrections","IsSuppressed"
,,"Missing BOM encoding for non-ASCII encoded file 'Bitwise.psm1'",,"PSUseBOMForUnicodeEncodedFile","Warning","Bitwise.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Acquisition\Bitwise.psm1",,,"False"
,,"Missing BOM encoding for non-ASCII encoded file 'Bridge.psm1'",,"PSUseBOMForUnicodeEncodedFile","Warning","Bridge.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Acquisition\Bridge.psm1",,,"False"
,,"Missing BOM encoding for non-ASCII encoded file 'Reader.psm1'",,"PSUseBOMForUnicodeEncodedFile","Warning","Reader.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Acquisition\Reader.psm1",,,"False"
"52","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Resilience.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Acquisition\Resilience.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"21","15","The parameter 'TargetOffset' has been declared but not used.","$TargetOffset","PSReviewUnusedParameter","Warning","Resilience.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Acquisition\Resilience.psm1","TargetOffset",,"False"
"65","11","The parameter 'Task' has been declared but not used.","$Task","PSReviewUnusedParameter","Warning","Resilience.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Acquisition\Resilience.psm1","Task",,"False"
"65","18","The parameter 'PayloadDef' has been declared but not used.","$PayloadDef","PSReviewUnusedParameter","Warning","Resilience.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Acquisition\Resilience.psm1","PayloadDef",,"False"
"65","31","The parameter 'Target' has been declared but not used.","$Target","PSReviewUnusedParameter","Warning","Resilience.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Acquisition\Resilience.psm1","Target",,"False"
,,"Missing BOM encoding for non-ASCII encoded file 'Resilience.psm1'",,"PSUseBOMForUnicodeEncodedFile","Warning","Resilience.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Acquisition\Resilience.psm1",,,"False"
,,"Missing BOM encoding for non-ASCII encoded file 'Selection.psm1'",,"PSUseBOMForUnicodeEncodedFile","Warning","Selection.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Acquisition\Selection.psm1",,,"False"
"35","11","The parameter 'Task' has been declared but not used.","$Task","PSReviewUnusedParameter","Warning","Selection.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Acquisition\Selection.psm1","Task",,"False"
"35","18","The parameter 'PayloadDef' has been declared but not used.","$PayloadDef","PSReviewUnusedParameter","Warning","Selection.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Acquisition\Selection.psm1","PayloadDef",,"False"
"35","31","The parameter 'Target' has been declared but not used.","$Target","PSReviewUnusedParameter","Warning","Selection.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Acquisition\Selection.psm1","Target",,"False"
,,"Missing BOM encoding for non-ASCII encoded file 'Analyzer.psm1'",,"PSUseBOMForUnicodeEncodedFile","Warning","Analyzer.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\Analyzer.psm1",,,"False"
"103","80","Empty catch block is used. Please use Write-Error or throw statements in catch blocks.","catch {}","PSAvoidUsingEmptyCatchBlock","Warning","Analyzer.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\Analyzer.psm1",,,"False"
"22","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Carver.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\Carving\Carver.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
,,"Missing BOM encoding for non-ASCII encoded file 'Healer.psm1'",,"PSUseBOMForUnicodeEncodedFile","Warning","Healer.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\Carving\Healer.psm1",,,"False"
"94","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Abstraction.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\Abstraction.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"277","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Abstraction.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\Abstraction.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"337","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Abstraction.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\Abstraction.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
,,"Missing BOM encoding for non-ASCII encoded file 'Abstraction.psm1'",,"PSUseBOMForUnicodeEncodedFile","Warning","Abstraction.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\Abstraction.psm1",,,"False"
"32","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","APFS.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\APFS.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
,,"Missing BOM encoding for non-ASCII encoded file 'BTRFS.psm1'",,"PSUseBOMForUnicodeEncodedFile","Warning","BTRFS.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\BTRFS.psm1",,,"False"
"32","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","BTRFS.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\BTRFS.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"28","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","DiskImage.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\DiskImage.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"51","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","DiskImage.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\DiskImage.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"72","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","DiskImage.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\DiskImage.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"94","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","DiskImage.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\DiskImage.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"118","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","DiskImage.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\DiskImage.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
,,"Missing BOM encoding for non-ASCII encoded file 'EXT.psm1'",,"PSUseBOMForUnicodeEncodedFile","Warning","EXT.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\EXT.psm1",,,"False"
"126","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","EXT.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\EXT.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"32","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","F2FS.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\F2FS.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
,,"Missing BOM encoding for non-ASCII encoded file 'FAT.psm1'",,"PSUseBOMForUnicodeEncodedFile","Warning","FAT.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\FAT.psm1",,,"False"
"141","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","FAT.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\FAT.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
